logTime (s),bottomVelX (m/s),bottomVelY (m/s),bottomVelZ (m/s),rangeBottom1,rangeBottom2,rangeBottom3,heading,pitch,roll
1093455407.147,0.061,-0.049,0.028,1.84,1.88,1.86,3.62504579444444,-0.00872663888888889,0.0279252444444444
1093455407.822,-0.019,0.089,-0.047,1.83,1.87,1.85,3.61980981111111,-0.00872663888888889,0.0279252444444444
1093455408.465,-0.111,0.041,0.029,1.84,1.88,1.85,3.62330046666667,-0.00872663888888889,0.0279252444444444
1093455409.115,0.05,-0.021,-0.008,1.85,1.89,1.83,3.60759251666667,-0.00872663888888889,0.0279252444444444
1093455409.775,-0.008,-0.014,-0.009,1.84,1.89,1.85,3.60759251666667,-0.00872663888888889,0.0279252444444444
1093455410.437,0.015,0.192,0.036,1.84,1.89,1.86,3.58839391111111,-0.00872663888888889,0.0279252444444444
1093455411.096,-0.006,0.144,0.033,1.83,1.88,1.85,3.58315792777778,-0.00872663888888889,0.0279252444444444
1093455411.753,-0.132,-0.242,-0.068,1.83,1.88,1.87,3.58490325555556,-0.00872663888888889,0.0279252444444444
1093455412.421,0.165,0.193,0.041,1.86,1.89,1.88,3.57443128888889,-0.00872663888888889,0.0279252444444444
1093455413.077,0.012,0.038,0.012,1.85,1.88,1.87,3.56221399444444,-0.00872663888888889,0.0279252444444444
1093455413.732,-0.006,0.004,-0.009,1.85,1.89,1.87,3.55523268333333,-0.00872663888888889,0.0279252444444444
1093455414.392,0.014,0.001,0.014,1.83,1.89,1.85,3.53428875,-0.00872663888888889,0.0279252444444444
1093455415.055,0.176,-0.415,0.082,1.83,1.86,1.87,3.54476071666667,-0.00872663888888889,0.0279252444444444
1093455415.708,-0.255,0.28,-0.127,1.83,1.86,1.89,3.53777940555556,-0.00872663888888889,0.0279252444444444
1093455416.369,-0.118,0.119,-0.051,1.83,1.89,1.89,3.52032612777778,-0.00872663888888889,0.0279252444444444
1093455417.035,-0.171,0.177,-0.004,1.84,1.87,1.89,3.50461817777778,-0.00872663888888889,0.0279252444444444
1093455417.704,0.075,0.25,-0.018,1.79,1.88,1.87,3.50461817777778,-0.00872663888888889,0.0279252444444444
1093455418.353,0.419,-0.246,0.179,1.83,1.88,1.86,3.50810883333333,-0.00698131111111111,0.0279252444444444
1093455419.021,0.032,-0.334,0.012,1.82,1.88,1.85,3.49065555555556,-0.00698131111111111,0.0279252444444444
1093455419.665,-0.19,0.034,-0.076,1.83,1.88,1.87,3.48891022777778,-0.00872663888888889,0.0279252444444444
1093455420.324,-0.087,0.177,-0.028,1.85,1.88,1.84,3.46622096666667,-0.00872663888888889,0.0279252444444444
1093455420.988,-0.141,0.069,-0.052,1.82,1.87,1.82,3.45749432777778,-0.00872663888888889,0.0279252444444444
1093455421.653,-0.263,0.051,0.005,1.83,1.88,1.83,3.46273031111111,-0.00872663888888889,0.0279252444444444
1093455422.308,-0.19,0.054,-0.008,1.83,1.88,1.84,3.44702236111111,-0.00872663888888889,0.0279252444444444
1093455422.96,-0.017,0.033,0.017,1.82,1.88,1.86,3.44353170555556,-0.00872663888888889,0.0279252444444444
1093455423.637,0.118,-0.102,0.04,1.84,1.89,1.85,3.44004105,-0.00872663888888889,0.0279252444444444
1093455424.282,0.194,-0.247,0.069,1.82,1.89,1.84,3.40862515,-0.00872663888888889,0.0279252444444444
1093455424.953,0.161,-0.209,0.079,1.82,1.87,1.82,3.41909711666667,-0.00872663888888889,0.0279252444444444
1093455425.605,0.038,-0.073,0.027,1.84,1.89,1.82,3.41211580555556,-0.00872663888888889,0.0279252444444444
1093455426.262,-0.045,0.092,-0.01,1.83,1.88,1.83,3.40687982222222,-0.00872663888888889,0.0279252444444444
1093455426.924,-0.053,0.102,-0.011,1.82,1.88,1.84,3.39466252777778,-0.00872663888888889,0.0279252444444444
1093455427.58,-0.172,0.006,0.008,1.82,1.89,1.84,3.38942654444444,-0.00872663888888889,0.0279252444444444
1093455428.249,0.037,-0.005,-0.077,1.83,1.89,1.87,3.38244523333333,-0.00872663888888889,0.0279252444444444
1093455428.897,-0.107,-0.049,-0.046,1.82,1.89,1.86,3.37546392222222,-0.00872663888888889,0.0279252444444444
1093455429.553,-0.062,-0.041,-0.02,1.83,1.87,1.88,3.37022793888889,-0.00872663888888889,0.0279252444444444
1093455430.205,0.216,0.318,0.096,1.83,1.9,1.83,3.34928400555556,-0.00872663888888889,0.0279252444444444
1093455430.874,-0.125,0.008,0.019,1.82,1.9,1.87,3.34404802222222,-0.00872663888888889,0.0279252444444444
1093455431.525,-0.014,-0.001,0.012,1.81,1.9,1.91,3.34579335,-0.00872663888888889,0.0279252444444444
1093455432.201,0.018,-0.031,-0.008,1.81,1.89,1.9,3.34055736666667,-0.00872663888888889,0.0279252444444444
1093455432.872,0.091,-0.129,0.05,1.84,1.92,1.88,3.33881203888889,-0.00872663888888889,0.0279252444444444
1093455433.517,0.055,-0.3,0.06,1.82,1.9,1.87,3.30739613888889,-0.00872663888888889,0.0279252444444444
1093455434.173,-0.164,0.086,-0.056,1.82,1.88,1.87,3.30565081111111,-0.00872663888888889,0.0279252444444444
1093455434.837,-0.074,-0.026,-0.054,1.83,1.91,1.89,3.29692417222222,-0.00872663888888889,0.0279252444444444
1093455435.498,0.023,0,0.002,1.83,1.92,1.87,3.29168818888889,-0.00872663888888889,0.0279252444444444
1093455436.157,-0.01,0.048,0.027,1.83,1.9,1.86,3.28470687777778,-0.00872663888888889,0.0279252444444444
1093455436.82,-0.043,-0.044,-0.001,1.83,1.9,1.86,3.27947089444444,-0.00872663888888889,0.0279252444444444
1093455437.475,0.043,-0.038,0.017,1.83,1.9,1.85,3.26550827222222,-0.00872663888888889,0.0279252444444444
1093455438.133,0.173,0.107,0.084,1.83,1.91,1.86,3.25329097777778,-0.00872663888888889,0.0279252444444444
1093455438.793,-0.134,-0.12,-0.062,1.83,1.91,1.88,3.24281901111111,-0.00872663888888889,0.0279252444444444
1093455439.45,-0.003,0.016,0,1.83,1.89,1.86,3.22711106111111,-0.00872663888888889,0.0279252444444444
1093455440.109,-0.009,0.032,-0.005,1.83,1.91,1.85,3.2358377,-0.00872663888888889,0.0279252444444444
1093455440.749,0,-0.038,0.015,1.84,1.9,1.85,3.23060171666667,-0.00872663888888889,0.0279252444444444
1093455441.418,-0.072,-0.029,0.018,1.83,1.89,1.85,3.18871385,-0.00872663888888889,0.0279252444444444
1093455442.084,0.023,-0.072,0.032,1.83,1.91,1.84,3.20965778333333,-0.00872663888888889,0.0279252444444444
1093455442.731,0.039,-0.068,0.01,1.82,1.91,1.86,3.20093114444444,-0.00872663888888889,0.0279252444444444
1093455443.393,-0.049,-0.033,0,1.83,1.88,1.84,3.18696852222222,-0.00872663888888889,0.0279252444444444
1093455444.098,0.123,-0.267,0.056,1.85,1.91,1.84,3.17824188333333,-0.00872663888888889,0.0279252444444444
1093455444.713,-0.034,-0.149,-0.016,1.85,1.91,1.85,3.16427926111111,-0.0104719666666667,0.0279252444444444
1093455445.366,-0.019,-0.014,0.006,1.83,1.89,1.84,3.13460868888889,-0.00872663888888889,0.0279252444444444
1093455446.035,0.015,-0.016,0.007,1.83,1.9,1.84,3.16078860555556,-0.00872663888888889,0.0261799166666667
1093455446.699,0.018,-0.027,0.004,1.84,1.91,1.85,3.14159,-0.00872663888888889,0.0279252444444444
1093455447.351,0.037,-0.077,0.017,1.83,1.9,1.84,3.13111803333333,-0.0104719666666667,0.0296705722222222
1093455448.002,0.036,-0.165,0.05,1.84,1.91,1.84,3.12762737777778,-0.00872663888888889,0.0296705722222222
1093455448.667,-0.03,-0.013,0.004,1.83,1.89,1.83,3.11715541111111,-0.00698131111111111,0.0279252444444444
1093455449.318,-0.057,0.106,-0.018,1.84,1.9,1.85,3.11541008333333,-0.00698131111111111,0.0279252444444444
1093455449.978,0.012,-0.008,0.017,1.85,1.93,1.83,3.09097549444444,-0.0104719666666667,0.0279252444444444
1093455450.634,0.062,-0.373,0.031,1.83,1.91,1.83,3.09970213333333,-0.00872663888888889,0.0279252444444444
1093455451.292,0.091,-0.205,0.042,1.83,1.93,1.83,3.08399418333333,-0.00872663888888889,0.0279252444444444
1093455451.954,-0.093,0.169,-0.041,1.81,1.92,1.82,3.08573951111111,-0.00872663888888889,0.0279252444444444
1093455452.621,-0.095,-0.254,-0.052,1.85,1.92,1.82,3.08050352777778,-0.00872663888888889,0.0279252444444444
1093455453.288,-0.067,0.193,-0.065,1.83,1.91,1.81,3.05606893888889,-0.00872663888888889,0.0261799166666667
1093455453.951,-0.012,-0.021,-0.005,1.83,1.9,1.79,3.05432361111111,-0.00872663888888889,0.0279252444444444
1093455454.629,0.234,-0.28,0.089,1.83,1.9,1.78,3.05257828333333,-0.00872663888888889,0.0296705722222222
1093455455.294,0.032,0.046,0.013,1.83,1.9,1.76,2.96182123888889,-0.00698131111111111,0.0331612277777778
1093455455.954,0.183,0.407,0.062,1.85,1.92,1.82,3.01767172777778,-0.00349065555555556,0.0314159
1093455456.617,0.062,0.114,-0.001,1.86,1.9,1.83,3.02639836666667,-0.00523598333333333,0.0314159
1093455457.269,0.124,0.096,-0.002,1.84,1.93,1.85,3.03512500555556,-0.00523598333333333,0.0314159
1093455457.934,0.291,-0.328,0.087,1.84,1.86,1.87,3.04908762777778,-0.00523598333333333,0.0314159
1093455458.586,0.116,0.304,0.026,1.84,1.88,1.86,3.04210631666667,-0.00523598333333333,0.0314159
1093455459.259,0,0.136,0.01,1.84,1.9,1.81,3.04559697222222,-0.00523598333333333,0.0314159
1093455459.928,0.109,0.165,-0.001,1.85,1.9,1.79,3.05955959444444,-0.00523598333333333,0.0331612277777778
1093455460.586,0.246,0.311,-0.013,1.86,1.87,1.84,3.04559697222222,-0.00523598333333333,0.0331612277777778
1093455461.249,0.091,0.184,-0.007,1.83,1.89,1.83,3.06654090555556,-0.00349065555555556,0.0314159
1093455461.923,0.011,0.252,-0.01,1.77,1.93,1.85,3.06305025,-0.00523598333333333,0.0314159
1093455462.583,0.463,-0.086,0.157,1.81,1.9,1.82,3.06479557777778,-0.00523598333333333,0.0314159
1093455463.254,0.068,0.215,0.014,1.83,1.88,1.85,3.08573951111111,-0.00523598333333333,0.0314159
1093455463.915,-0.202,0.156,0.072,1.82,1.87,1.87,3.09621147777778,-0.00523598333333333,0.0331612277777778
1093455464.563,0.151,0.199,0,1.83,1.83,1.86,3.08923016666667,-0.00349065555555556,0.0314159
1093455465.252,0.054,0.21,-0.002,1.81,1.84,1.82,3.09097549444444,-0.00349065555555556,0.0314159
1093455465.907,0.184,-0.087,0.07,1.83,1.87,1.84,3.12413672222222,-0.00349065555555556,0.0314159
1093455466.559,0.116,0.152,-0.025,1.85,1.87,1.85,3.13809934444444,-0.00523598333333333,0.0331612277777778
1093455467.22,-0.047,0.202,0.038,1.83,1.88,1.82,3.15904327777778,-0.00523598333333333,0.0314159
1093455467.892,0.103,0.175,-0.003,1.84,1.89,1.8,3.17824188333333,-0.00349065555555556,0.0331612277777778
1093455468.549,0.095,0.298,0.015,1.84,1.9,1.83,3.2044218,-0.00349065555555556,0.0331612277777778
1093455469.216,0.126,0.122,-0.003,1.83,1.89,1.85,3.23758302777778,-0.00523598333333333,0.0331612277777778
1093455469.868,0.067,0.225,0.011,1.85,1.89,1.84,3.26376294444444,-0.00349065555555556,0.0331612277777778
1093455470.535,0.294,0.237,-0.075,1.83,1.89,1.81,3.28470687777778,-0.00349065555555556,0.0331612277777778
1093455471.199,0.267,0.228,-0.042,1.82,1.88,1.8,3.33532138333333,-0.00523598333333333,0.0331612277777778
1093455471.882,0.131,0.388,-0.063,1.82,1.9,1.79,3.36673728333333,-0.00523598333333333,0.0331612277777778
1093455472.547,0.004,0.327,-0.03,1.83,1.91,1.81,3.41037047777778,-0.00349065555555556,0.0331612277777778
1093455473.203,0.318,0.289,-0.022,1.82,1.9,1.82,3.45749432777778,-0.00523598333333333,0.0331612277777778
1093455473.88,0.083,0.2,-0.014,1.83,1.89,1.81,3.49589153888889,-0.00349065555555556,0.0331612277777778
1093455474.552,-0.042,0.282,0,1.84,1.89,1.8,3.53952473333333,-0.00349065555555556,0.0331612277777778
1093455475.216,0.119,0.127,-0.017,1.81,1.87,1.8,3.56919530555556,-0.00349065555555556,0.0331612277777778
1093455475.878,0.181,0.393,0.069,1.83,1.89,1.82,3.61631915555555,-0.00349065555555556,0.0331612277777778
1093455476.556,0.259,-0.051,0.088,1.82,1.9,1.81,3.66518833333333,-0.00349065555555556,0.0331612277777778
1093455477.218,0.366,0.544,0.122,1.83,1.9,1.82,3.67915095555556,-0.00523598333333333,0.0331612277777778
1093455477.891,0.236,0.097,0.047,1.84,1.91,1.8,3.73151078888889,-0.00523598333333333,0.0331612277777778
1093455478.546,0.219,0.365,0.04,1.85,1.88,1.83,3.77165332777778,-0.00523598333333333,0.0331612277777778
1093455479.204,0.073,0.253,-0.009,1.84,1.88,1.79,3.80655988333333,-0.00523598333333333,0.0331612277777778
1093455479.891,0.026,0.241,0.055,1.83,1.92,1.81,3.85019307777778,-0.00523598333333333,0.0331612277777778
1093455480.553,0.135,0.204,-0.013,1.83,1.89,1.79,3.87288233888889,-0.00698131111111111,0.0331612277777778
1093455481.215,0.231,0.599,0.086,1.81,1.91,1.82,3.92873282777778,-0.00698131111111111,0.0331612277777778
1093455481.885,-0.019,0.455,-0.058,1.85,1.91,1.78,3.96713003888889,-0.00523598333333333,0.0331612277777778
1093455482.556,0.134,0.182,0.022,1.84,1.91,1.72,3.98109266111111,-0.00523598333333333,0.0331612277777778
1093455483.221,0.172,-0.225,0.024,1.84,1.9,1.82,4.00378192222222,-0.00523598333333333,0.0331612277777778
1093455483.882,0.068,0.19,0.003,1.83,1.89,1.8,4.03345249444444,-0.00349065555555556,0.0331612277777778
1093455484.55,-0.097,0.136,0.01,1.84,1.91,1.78,4.03694315,-0.00349065555555556,0.0331612277777778
1093455485.218,0.424,0.47,0.148,1.85,1.92,1.81,4.04741511666667,-0.00523598333333333,0.0331612277777778
1093455485.883,0.164,0.255,-0.024,1.85,1.89,1.81,4.06137773888889,-0.00349065555555556,0.0349065555555556
1093455486.551,0.266,0.198,0.027,1.84,1.92,1.8,4.05963241111111,-0.00523598333333333,0.0349065555555556
1093455487.216,0.071,0.288,-0.037,1.84,1.92,1.83,4.0526511,-0.00349065555555556,0.0349065555555556
1093455487.879,0.091,0.278,-0.004,1.85,1.92,1.8,4.02996183888889,-0.00349065555555556,0.0349065555555556
1093455488.55,0.356,0.172,-0.038,1.86,1.92,1.81,4.02472585555556,-0.00349065555555556,0.0349065555555556
1093455489.215,0.135,0.231,0.063,1.85,1.91,1.82,4.00552725,-0.00349065555555556,0.0349065555555556
1093455489.87,0.218,0.377,0.028,1.85,1.94,1.82,3.97934733333333,-0.00349065555555556,0.0349065555555556
1093455490.52,0.43,-0.194,-0.062,1.86,1.92,1.82,3.94618610555556,-0.00349065555555556,0.0349065555555556
1093455491.188,0.071,0.177,-0.045,1.88,1.93,1.83,3.8955716,-0.00349065555555556,0.0349065555555556
1093455491.862,0.101,0.086,-0.003,1.88,1.93,1.84,3.87462766666667,-0.00698131111111111,0.0279252444444444
1093455492.509,0.069,0.063,-0.017,1.85,1.9,1.87,3.81005053888889,-0.0104719666666667,0.0279252444444444
1093455493.164,-0.022,0.091,0.034,1.83,1.89,1.84,3.75245472222222,-0.0122172944444444,0.0244345888888889
1093455493.835,-0.047,-0.109,-0.019,1.88,1.92,1.82,3.72452947777778,-0.00698131111111111,0.0279252444444444
1093455494.492,-0.093,0.076,0.05,1.91,1.93,1.81,3.6756603,-0.00349065555555556,0.0314159
1093455495.146,0.069,0.079,-0.018,1.88,1.94,1.85,3.60759251666667,-0.00523598333333333,0.0314159
1093455495.805,0.014,0.342,-0.034,1.87,1.92,1.86,3.56221399444444,-0.0104719666666667,0.0279252444444444
1093455496.466,0.143,-0.327,0.033,1.85,1.9,1.86,3.48891022777778,-0.0104719666666667,0.0261799166666667
1093455497.117,-0.145,0.106,0.036,1.87,1.93,1.87,3.44527703333333,-0.00872663888888889,0.0261799166666667
1093455497.777,0.077,0.068,0.002,1.87,1.93,1.85,3.39640785555556,-0.00698131111111111,0.0296705722222222
1093455498.439,0.023,0.033,-0.018,1.88,1.93,1.87,3.3300854,-0.00698131111111111,0.0314159
1093455499.094,0.031,0.074,0.022,1.88,1.93,1.87,3.27772556666667,-0.00872663888888889,0.0279252444444444
1093455499.743,-0.126,0.344,0.076,1.86,1.92,1.86,3.22711106111111,-0.00872663888888889,0.0279252444444444
1093455500.405,-0.308,-0.127,-0.152,1.89,1.93,1.86,3.19744048888889,-0.00698131111111111,0.0279252444444444
1093455501.067,0.269,-0.006,-0.04,1.92,1.93,1.87,3.18522319444444,-0.00698131111111111,0.0279252444444444
1093455501.73,-0.121,0.257,-0.075,1.89,1.95,1.86,3.15555262222222,-0.00872663888888889,0.0314159
1093455502.386,-0.043,-0.241,-0.049,1.89,1.94,1.88,3.12588205,-0.00698131111111111,0.0296705722222222
1093455503.05,0.118,0.056,0.027,1.9,1.93,1.89,3.09970213333333,-0.00872663888888889,0.0279252444444444
1093455503.709,-0.004,0.028,-0.012,1.89,1.93,1.91,3.08573951111111,-0.00872663888888889,0.0279252444444444
1093455504.37,0.161,0.064,-0.023,1.9,1.94,1.87,3.06654090555556,-0.00872663888888889,0.0279252444444444
1093455505.032,0.269,0.106,-0.022,1.9,1.93,1.88,3.0473423,-0.00872663888888889,0.0296705722222222
1093455505.689,0.038,0.135,0.039,1.91,1.92,1.87,3.0159264,-0.00872663888888889,0.0296705722222222
1093455506.344,0.057,0.053,-0.014,1.89,1.92,1.86,3.01069041666667,-0.00872663888888889,0.0279252444444444
1093455507.019,0.312,0.117,-0.078,1.9,1.92,1.89,2.98276517222222,-0.00872663888888889,0.0279252444444444
1093455507.664,-0.08,0.089,0.012,1.91,1.92,1.87,2.96531189444444,-0.00872663888888889,0.0279252444444444
1093455508.328,0.057,0.049,-0.002,1.9,1.94,1.88,2.94611328888889,-0.00872663888888889,0.0279252444444444
1093455508.977,-0.409,0.176,0.07,1.91,1.92,1.9,2.92691468333333,-0.00698131111111111,0.0296705722222222
1093455509.649,0.332,-0.214,0.029,1.89,1.92,1.89,2.91469738888889,-0.00698131111111111,0.0296705722222222
1093455510.298,0.038,0.076,-0.011,1.89,1.92,1.89,2.89200812777778,-0.00872663888888889,0.0279252444444444
1093455510.95,-0.078,0.046,0.042,1.91,1.92,1.89,2.89200812777778,-0.00872663888888889,0.0279252444444444
1093455511.619,0.049,0.046,0.004,1.91,1.91,1.91,2.88328148888889,-0.00872663888888889,0.0279252444444444
1093455512.279,-0.066,0.044,0.025,1.91,1.93,1.88,2.85012026111111,-0.00872663888888889,0.0279252444444444
1093455512.927,0.052,0.078,0.008,1.91,1.93,1.88,2.83964829444444,-0.00698131111111111,0.0296705722222222
1093455513.59,0.247,-0.116,0.068,1.93,1.91,1.89,2.83092165555556,-0.00698131111111111,0.0296705722222222
1093455514.264,0.151,0.155,-0.007,1.91,1.9,1.88,2.81870436111111,-0.00698131111111111,0.0279252444444444
1093455514.918,0.15,-0.014,-0.045,1.91,1.93,1.87,2.81172305,-0.00698131111111111,0.0296705722222222
1093455515.578,0.018,0.147,0.004,1.9,1.9,1.88,2.79426977222222,-0.00872663888888889,0.0296705722222222
1093455516.237,0.078,0.136,0.003,1.89,1.91,1.89,2.78379780555556,-0.00872663888888889,0.0279252444444444
1093455516.894,0.181,0.116,-0.054,1.91,1.92,1.89,2.75936321666667,-0.00872663888888889,0.0279252444444444
1093455517.551,0.006,0.194,-0.029,1.89,1.92,1.88,2.75587256111111,-0.00698131111111111,0.0279252444444444
1093455518.216,-0.018,0.041,0.027,1.89,1.92,1.88,2.74190993888889,-0.00698131111111111,0.0279252444444444
1093455518.877,-0.245,0.174,0.005,1.89,1.91,1.89,2.71922067777778,-0.00872663888888889,0.0279252444444444
1093455519.522,-0.068,0.051,0.036,1.89,1.91,1.88,2.71573002222222,-0.00872663888888889,0.0279252444444444
