keyFrame,keyFrameBeginning,keyFrameEnd
1,1093455234.65563,1093455248.45663
2,1093455248.45663,1093455262.25363
3,1093455262.25363,1093455276.05463
4,1093455276.05463,1093455289.85463
5,1093455289.85463,1093455303.65563
6,1093455303.65563,1093455317.45663
7,1093455317.45663,1093455331.25763
8,1093455331.25763,1093455345.05863
9,1093455345.05863,1093455358.85963
10,1093455358.85963,1093455372.66063
11,1093455372.66063,1093455386.46163
12,1093455386.46163,1093455400.26163
13,1093455400.26163,1093455414.06263
14,1093455414.06263,1093455427.86363
15,1093455427.86363,1093455441.66463
16,1093455441.66463,1093455455.46563
17,1093455455.46563,1093455469.26663
18,1093455469.26663,1093455483.06763
19,1093455483.06763,1093455496.86764
20,1093455496.86764,1093455510.66864
21,1093455510.66864,1093455524.46964
22,1093455524.46964,1093455538.27064
23,1093455538.27064,1093455552.07164
24,1093455552.07164,1093455565.86864
25,1093455565.86864,1093455579.66964
26,1093455579.66964,1093455593.46964
27,1093455593.46964,1093455607.27064
28,1093455607.27064,1093455621.07164
29,1093455621.07164,1093455634.87264
30,1093455634.87264,1093455648.67364
31,1093455648.67364,1093455662.47464
32,1093455662.47464,1093455676.27564
33,1093455676.27564,1093455690.07564
34,1093455690.07564,1093455703.87664
35,1093455703.87664,1093455717.67764
36,1093455717.67764,1093455731.47864
37,1093455731.47864,1093455745.27964
38,1093455745.27964,1093455759.08064
39,1093455759.08064,1093455772.88164
40,1093455772.88164,1093455786.68264
41,1093455786.68264,1093455800.48264
42,1093455800.48264,1093455814.28364
43,1093455814.28364,1093455828.08464
44,1093455828.08464,1093455841.88564
45,1093455841.88564,1093455855.68664
46,1093455855.68664,1093455869.48364
47,1093455869.48364,1093455883.28464
48,1093455883.28464,1093455897.08464
49,1093455897.08464,1093455910.88564
50,1093455910.88564,1093455924.68664
51,1093455924.68664,1093455938.48764
52,1093455938.48764,1093455952.28864
53,1093455952.28864,1093455966.08964
54,1093455966.08964,1093455979.89064
55,1093455979.89064,1093455993.69064
56,1093455993.69064,1093456007.49164
57,1093456007.49164,1093456021.29264
58,1093456021.29264,1093456035.09364
59,1093456035.09364,1093456048.89464
60,1093456048.89464,1093456062.69564
61,1093456062.69564,1093456076.49664
62,1093456076.49664,1093456090.29764
63,1093456090.29764,1093456104.09764
64,1093456104.09764,1093456117.89864
65,1093456117.89864,1093456131.69964
66,1093456131.69964,1093456145.50064
67,1093456145.50064,1093456159.30164
68,1093456159.30164,1093456173.09864
69,1093456173.09864,1093456186.89964
70,1093456186.89964,1093456200.69964
71,1093456200.69964,1093456214.50064
72,1093456214.50064,1093456228.30164
73,1093456228.30164,1093456242.10264
74,1093456242.10264,1093456255.90364
75,1093456255.90364,1093456269.70464
76,1093456269.70464,1093456283.50564
77,1093456283.50564,1093456297.30564
78,1093456297.30564,1093456311.10664
79,1093456311.10664,1093456324.90764
80,1093456324.90764,1093456338.70864
81,1093456338.70864,1093456352.50964
82,1093456352.50964,1093456366.31064
83,1093456366.31064,1093456380.11164
84,1093456380.11164,1093456393.91264
85,1093456393.91264,1093456407.71264
86,1093456407.71264,1093456421.51364
87,1093456421.51364,1093456435.31464
88,1093456435.31464,1093456449.11564
89,1093456449.11564,1093456462.91664
90,1093456462.91664,1093456476.71364
91,1093456476.71364,1093456490.51464
92,1093456490.51464,1093456504.31465
93,1093456504.31465,1093456518.11565
94,1093456518.11565,1093456531.91665
95,1093456531.91665,1093456545.71765
96,1093456545.71765,1093456559.51865
97,1093456559.51865,1093456573.31965
98,1093456573.31965,1093456587.12065
99,1093456587.12065,1093456600.92065
100,1093456600.92065,1093456614.72165
101,1093456614.72165,1093456628.52265
102,1093456628.52265,1093456642.32365
103,1093456642.32365,1093456656.12465
104,1093456656.12465,1093456669.92565
105,1093456669.92565,1093456683.72665
106,1093456683.72665,1093456697.52665
107,1093456697.52665,1093456711.32765
108,1093456711.32765,1093456725.12865
109,1093456725.12865,1093456738.92965
110,1093456738.92965,1093456752.73065
111,1093456752.73065,1093456766.53165
112,1093456766.53165,1093456780.32865
113,1093456780.32865,1093456794.12865
114,1093456794.12865,1093456807.92965
115,1093456807.92965,1093456821.73065
116,1093456821.73065,1093456835.53165
117,1093456835.53165,1093456849.33265
118,1093456849.33265,1093456863.13365
119,1093456863.13365,1093456876.93465
120,1093456876.93465,1093456890.73565
121,1093456890.73565,1093456904.53565
122,1093456904.53565,1093456918.33665
123,1093456918.33665,1093456932.13765
124,1093456932.13765,1093456945.93865
125,1093456945.93865,1093456959.73965
126,1093456959.73965,1093456973.54065
127,1093456973.54065,1093456987.34165
128,1093456987.34165,1093457001.14165
129,1093457001.14165,1093457014.94265
130,1093457014.94265,1093457028.74365
131,1093457028.74365,1093457042.54465
132,1093457042.54465,1093457056.34565
133,1093457056.34565,1093457070.14665
134,1093457070.14665,1093457083.94365
135,1093457083.94365,1093457097.74365
136,1093457097.74365,1093457111.54465
137,1093457111.54465,1093457125.34565
138,1093457125.34565,1093457139.14665
139,1093457139.14665,1093457152.94765
140,1093457152.94765,1093457166.74865
141,1093457166.74865,1093457180.54965
142,1093457180.54965,1093457194.34965
143,1093457194.34965,1093457208.15065
144,1093457208.15065,1093457221.95165
145,1093457221.95165,1093457235.75365
146,1093457235.75365,1093457249.55365
147,1093457249.55365,1093457263.35465
148,1093457263.35465,1093457277.15565
149,1093457277.15565,1093457290.95665
150,1093457290.95665,1093457304.75665
151,1093457304.75665,1093457318.55765
152,1093457318.55765,1093457332.35865
153,1093457332.35865,1093457346.15965
154,1093457346.15965,1093457359.96065
155,1093457359.96065,1093457373.76165
156,1093457373.76165,1093457387.55865
157,1093457387.55865,1093457401.35865
158,1093457401.35865,1093457415.15965
159,1093457415.15965,1093457428.96065
160,1093457428.96065,1093457442.76165
161,1093457442.76165,1093457456.56265
162,1093457456.56265,1093457470.36365
163,1093457470.36365,1093457484.16465
164,1093457484.16465,1093457497.96566
165,1093457497.96566,1093457511.76566
166,1093457511.76566,1093457525.56666
167,1093457525.56666,1093457539.36766
168,1093457539.36766,1093457553.16866
169,1093457553.16866,1093457566.96966
170,1093457566.96966,1093457580.77066
171,1093457580.77066,1093457594.57166
172,1093457594.57166,1093457608.37166
173,1093457608.37166,1093457622.17266
174,1093457622.17266,1093457635.97366
175,1093457635.97366,1093457649.77466
176,1093457649.77466,1093457663.57566
177,1093457663.57566,1093457677.37666
178,1093457677.37666,1093457691.17366
179,1093457691.17366,1093457704.97366
180,1093457704.97366,1093457718.77466
181,1093457718.77466,1093457732.57566
182,1093457732.57566,1093457746.37666
183,1093457746.37666,1093457760.17766
184,1093457760.17766,1093457773.97866
185,1093457773.97866,1093457787.77966
186,1093457787.77966,1093457801.57966
187,1093457801.57966,1093457815.38066
188,1093457815.38066,1093457829.18166
189,1093457829.18166,1093457842.98266
190,1093457842.98266,1093457856.78366
191,1093457856.78366,1093457870.58466
192,1093457870.58466,1093457884.38566
193,1093457884.38566,1093457898.18666
194,1093457898.18666,1093457911.98666
195,1093457911.98666,1093457925.78766
196,1093457925.78766,1093457939.58866
197,1093457939.58866,1093457953.38966
198,1093457953.38966,1093457967.19066
199,1093457967.19066,1093457980.99166
200,1093457980.99166,1093457994.78866
201,1093457994.78866,1093458008.58866
202,1093458008.58866,1093458022.38966
203,1093458022.38966,1093458036.19066
204,1093458036.19066,1093458049.99166
205,1093458049.99166,1093458063.79266
206,1093458063.79266,1093458077.59366
207,1093458077.59366,1093458091.39466
208,1093458091.39466,1093458105.19466
209,1093458105.19466,1093458118.99566
210,1093458118.99566,1093458132.79666
211,1093458132.79666,1093458146.59766
212,1093458146.59766,1093458160.39866
213,1093458160.39866,1093458174.19966
214,1093458174.19966,1093458188.00066
215,1093458188.00066,1093458201.80066
216,1093458201.80066,1093458215.60166
217,1093458215.60166,1093458229.40266
218,1093458229.40266,1093458243.20366
219,1093458243.20366,1093458257.00466
220,1093458257.00466,1093458270.80566
221,1093458270.80566,1093458284.60666
222,1093458284.60666,1093458298.40266
223,1093458298.40266,1093458312.20366
224,1093458312.20366,1093458326.00466
225,1093458326.00466,1093458339.80566
226,1093458339.80566,1093458353.60666
227,1093458353.60666,1093458367.40766
228,1093458367.40766,1093458381.20866
229,1093458381.20866,1093458395.00966
230,1093458395.00966,1093458408.80966
